"","tag_code","node","slot","event_type_name","n_dets","min_det","max_det","duration","travel_time"
"19","3D9.1C2DEFAD0C",1,1,"Observation",1,"2022-02-05 00:30:45","2022-02-05 00:30:45",0,NA
"20","3D9.1C2DEFAD0C",2,2,"Observation",1,"2022-02-05 00:31:10","2022-02-05 00:31:10",0,0.416666666666667
"21","3D9.1C2DEFE014",1,1,"Observation",2,"2022-02-13 23:56:02","2022-02-14 00:02:27",6.41666666666667,NA
"22","3D9.1C2DF80776",1,1,"Observation",27,"2022-02-09 02:55:02","2022-02-09 03:21:05",26.05,NA
"23","3D9.1C2DF80776",2,2,"Observation",1,"2022-02-09 03:21:42","2022-02-09 03:21:42",0,0.616666666666667
"24","3D9.1C2DF810A5",1,1,"Observation",1,"2022-03-02 21:21:07","2022-03-02 21:21:07",0,NA
"25","3D9.1C2DF810A5",2,2,"Observation",1,"2022-03-02 21:21:31","2022-03-02 21:21:31",0,0.4
"26","3D9.1C2DF84A78",2,1,"Observation",1,"2022-01-31 22:00:34","2022-01-31 22:00:34",0,NA
"27","3D9.1C2DF87375",1,1,"Observation",1,"2022-03-31 21:29:54","2022-03-31 21:29:54",0,NA
"28","3D9.1C2DF87375",2,2,"Observation",1,"2022-03-31 21:30:14","2022-03-31 21:30:14",0,0.333333333333333
"29","3D9.1C2DF87416",1,1,"Observation",1,"2022-04-13 22:15:47","2022-04-13 22:15:47",0,NA
"30","3D9.1C2DF87416",2,2,"Observation",2,"2022-04-13 22:16:03","2022-04-18 18:55:15",6999.2,0.266666666666667
"31","3D9.1C2DF87416",1,3,"Observation",1,"2022-04-18 18:56:42","2022-04-18 18:56:42",0,1.45
"32","3D9.239F88BC3F",5,1,"Observation",62,"2022-03-08 17:16:57","2022-03-20 05:20:02",16503.0833333333,NA
"33","3D9.239F88BC3F",11,2,"Observation",1,"2022-04-11 11:11:44","2022-04-11 11:11:44",0,32031.7
"34","3D9.239F88BC3F",1,3,"Observation",1,"2022-04-11 11:12:22","2022-04-11 11:12:22",0,0.633333333333333
"35","3D9.239F88C8E7",1,1,"Observation",1,"2022-01-22 03:02:05","2022-01-22 03:02:05",0,NA
"36","3D9.239F88C8E7",2,2,"Observation",1,"2022-01-22 03:02:23","2022-01-22 03:02:23",0,0.3
"37","3D9.239F88CD8C",11,1,"Observation",1,"2022-03-31 23:36:46","2022-03-31 23:36:46",0,NA
"38","3D9.239F88CD8C",1,2,"Observation",1,"2022-03-31 23:37:18","2022-03-31 23:37:18",0,0.533333333333333
"39","3D9.239F88CD8C",9,3,"Observation",1,"2022-03-31 23:39:50","2022-03-31 23:39:50",0,2.53333333333333
"40","3D9.239F88CE2A",18,1,"Observation",1,"2022-04-02 20:21:56","2022-04-02 20:21:56",0,NA
"41","3D9.239F88CE2A",2,2,"Observation",1,"2022-04-02 21:45:33","2022-04-02 21:45:33",0,83.6166666666667
"42","3D9.239F88D060",7,1,"Observation",14,"2022-01-19 10:38:34","2022-01-27 06:28:43",11270.15,NA
"43","3DD.003BE8FA6F",11,1,"Observation",1,"2022-02-14 10:19:33","2022-02-14 10:19:33",0,NA
"44","3DD.003BE8FA6F",15,2,"Observation",1,"2022-02-28 12:02:38","2022-02-28 12:02:38",0,20263.0833333333
"45","3DD.003BE8FA6F",11,3,"Observation",1,"2022-02-28 12:06:15","2022-02-28 12:06:15",0,3.61666666666667
"46","3DD.003BE8FA6F",7,4,"Observation",2,"2022-04-07 11:37:48","2022-04-07 11:39:12",1.4,54631.55
"47","3DD.003BE8FA6F",15,5,"Observation",2,"2022-04-19 12:30:27","2022-04-19 12:31:56",1.48333333333333,17331.25
"48","3DD.003BE8FA6F",7,6,"Observation",2,"2022-04-25 13:14:03","2022-04-25 13:14:04",0.0166666666666667,8682.11666666667
"49","3DD.003D35066B",1,1,"Observation",11,"2022-03-05 19:37:56","2022-03-29 19:57:11",34519.25,NA
"50","3DD.003D3506C8",1,1,"Observation",3,"2022-01-05 06:18:33","2022-01-05 23:58:35",1060.03333333333,NA
"51","3DD.003D3506C8",2,2,"Observation",2,"2022-01-05 23:59:20","2022-01-06 04:43:12",283.866666666667,0.75
"52","3DD.003D3506C8",1,3,"Observation",3,"2022-01-06 04:45:04","2022-01-13 01:44:01",9898.95,1.86666666666667
"53","3DD.003D3506C8",2,4,"Observation",3,"2022-01-13 01:44:51","2022-01-13 01:55:20",10.4833333333333,0.833333333333333
"54","3DD.003D3506C8",1,5,"Observation",2,"2022-01-13 01:59:09","2022-01-13 03:45:41",106.533333333333,3.81666666666667
"55","3DD.003D3506C8",2,6,"Observation",2,"2022-01-13 03:46:23","2022-01-13 04:17:34",31.1833333333333,0.7
"56","3DD.003D3506C8",1,7,"Observation",3,"2022-01-13 04:19:59","2022-01-29 06:15:56",23155.95,2.41666666666667
"57","3DD.003D3506C8",2,8,"Observation",2,"2022-01-29 06:16:47","2022-01-29 06:17:47",1,0.85
"58","3DD.003D3506C8",1,9,"Observation",1,"2022-01-29 06:18:40","2022-01-29 06:18:40",0,0.883333333333333
"59","3DD.003D57F8A3",2,1,"Observation",2,"2022-04-23 23:24:19","2022-04-23 23:28:59",4.66666666666667,NA
"60","3DD.003D57F8A3",1,2,"Observation",1,"2022-04-23 23:33:22","2022-04-23 23:33:22",0,4.38333333333333
"61","3DD.003D57FB02",2,1,"Observation",1,"2022-04-03 01:54:14","2022-04-03 01:54:14",0,NA
"62","3DD.003D57FB02",1,2,"Observation",2,"2022-04-03 02:04:40","2022-04-03 02:07:19",2.65,10.4333333333333
"63","3DD.003D57FB02",2,3,"Observation",1,"2022-04-03 02:07:44","2022-04-03 02:07:44",0,0.416666666666667
"64","3DD.003D57FB81",2,1,"Observation",142,"2022-04-28 21:00:16","2022-04-28 21:00:27",0.183333333333333,NA
"65","3DD.003D57FB82",2,1,"Observation",1,"2022-04-24 20:19:38","2022-04-24 20:19:38",0,NA
"66","3DD.003D57FB82",1,2,"Observation",1,"2022-04-24 20:26:11","2022-04-24 20:26:11",0,6.55
"67","3DD.003D57FBA5",1,1,"Observation",1,"2022-02-19 19:50:41","2022-02-19 19:50:41",0,NA
"68","3DD.003D57FBA5",2,2,"Observation",1,"2022-02-19 19:50:58","2022-02-19 19:50:58",0,0.283333333333333
"69","3DD.003D5801A4",2,1,"Observation",11,"2022-03-31 01:37:59","2022-03-31 02:05:50",27.85,NA
"70","3DD.003D5801BC",2,1,"Observation",1,"2022-02-15 09:38:10","2022-02-15 09:38:10",0,NA
"71","3DD.003D5801BC",1,2,"Observation",1,"2022-02-15 09:58:17","2022-02-15 09:58:17",0,20.1166666666667
"72","3DD.003D5C8C76",1,1,"Observation",4,"2022-01-14 02:03:41","2022-01-14 02:45:24",41.7166666666667,NA
"73","3DD.003D5C8C96",16,1,"Observation",14,"2022-03-03 20:16:12","2022-03-28 22:14:09",36057.95,NA
"74","3DD.003D7FDA8C",1,1,"Observation",1,"2022-03-27 23:37:18","2022-03-27 23:37:18",0,NA
"75","3DD.003D7FDA8C",2,2,"Observation",1,"2022-03-27 23:37:34","2022-03-27 23:37:34",0,0.266666666666667
"76","3DD.003D7FDACC",2,1,"Observation",2,"2022-03-05 18:02:45","2022-03-05 19:17:51",75.1,NA
"77","3DD.003D7FDACC",1,2,"Observation",1,"2022-03-05 19:26:19","2022-03-05 19:26:19",0,8.46666666666667
"78","3DD.003D7FDC06",2,1,"Observation",1,"2022-02-10 08:29:04","2022-02-10 08:29:04",0,NA
"79","3DD.003D7FDC06",1,2,"Observation",7,"2022-02-10 08:37:54","2022-03-18 22:05:51",52587.95,8.83333333333333
"80","3DD.003D7FDC06",2,3,"Observation",1,"2022-03-18 22:11:34","2022-03-18 22:11:34",0,5.71666666666667
"81","3DD.003D7FDC06",1,4,"Observation",25,"2022-03-18 23:01:56","2022-04-25 00:09:35",53347.65,50.3666666666667
"82","3DD.003D7FE25F",2,1,"Observation",1,"2022-02-12 11:37:59","2022-02-12 11:37:59",0,NA
"83","3DD.003D7FE25F",1,2,"Observation",1,"2022-02-12 11:39:25","2022-02-12 11:39:25",0,1.43333333333333
"84","3DD.003D7FE283",1,1,"Observation",1,"2022-02-19 19:51:21","2022-02-19 19:51:21",0,NA
"85","3DD.003D7FE283",2,2,"Observation",1,"2022-02-19 19:51:49","2022-02-19 19:51:49",0,0.466666666666667
"86","3DD.003D7FE320",1,1,"Observation",1,"2022-01-04 17:42:10","2022-01-04 17:42:10",0,NA
"87","3DD.003D7FE320",2,2,"Observation",1,"2022-01-04 17:42:35","2022-01-04 17:42:35",0,0.416666666666667
"88","3DD.003D7FE898",1,1,"Observation",1,"2022-04-17 21:21:25","2022-04-17 21:21:25",0,NA
"89","3DD.003D7FE898",2,2,"Observation",1,"2022-04-17 21:32:57","2022-04-17 21:32:57",0,11.5333333333333
